cluster_id,cluster_rep,index_intruder_in_df,title_intruder,community_intruder,intruder_rank,in_test_intruder_location,index_0,sentence_0_text,index_1,sentence_1_text,index_2,sentence_2_text,index_3,sentence_3_text,index_4,sentence_4_text,index_5,sentence_5_text,index_6,sentence_6_text,index_7,sentence_7_text,index_8,sentence_8_text,index_9,sentence_9_text
0,הכרעת דין,3020,"12. 	עדות ט' ש', חברתה של ת' ד'",2,3.0,1,79,הכרעת דין,3020,"12. 	עדות ט' ש', חברתה של ת' ד'",355,הכרעת דין,2743,הכרעת דין,2131,הכרעת דין,3051,הכרעת דין,2506,הכרעת דין,956,הכרעת דין,302,הכרעת דין,1245,הכרעת דין
7,יסוד העבירה,1870,גדר המחלוקת,-1,,3,917,על הנאשם מוטלים העונשים הבאים,1732,היסוד הנפשי של העבירה:,495,הפן המשפטי,1870,גדר המחלוקת,626,לעניין התנהגותו המפלילה של הנאשם,580,"16.	הפן המשפטי: ""מבצעת בצוותא"", או שמא אך ""מסייעת""?",526,מרמה באשר למיהות העושה,654,"היסוד הנפשי - ""לשם גירוי, סיפוק או ביזוי מיניים"".   ",207,"היסוד הפיסי במעשה מגונה עפ""י ",208,היסוד הנפשי:
2,עדויות התביעה,1729,התוצאה,6,1.0,9,49,עדות המתלוננת:,3238,החיזוקים לעדות המתלוננת,2787,עדות חוקרת הילדים,1853,לעניין מצבה הנפשי של המתלוננת:,976,"עדויות ודו""חות הפעולה של השוטרים שביצעו פעולות חקירה ",3203,כחודש לפני עזיבתה את הנאשם,2465,"פרשת ההגנה - גרסת הנאשם בחקירותיו במשטרה, ועדותו בבית-המשפט: ",1946,אופן התקיפה,217,עדות חוקרת הילדים,1729,התוצאה
1,כתב האישום,850,החדרת אצבע לנרתיק ברפואה המשלימה,7,4.0,3,1331,אישום חמישי,342,כתב האישום,2822,אישום שישי,850,החדרת אצבע לנרתיק ברפואה המשלימה,693,1.  כתב האישום,2441,"העובדות עפ""י כתב האישום: ",873,אישום חמישי,2840,תשובת הנאשם לכתב האישום,894,אישום עשרים ושמונה,2348,עובדות כתב האישום:
6,סיכום,60,6. עדותו של בן הזוג,-1,,4,2611,התוצאה,377,מבוא,3263,"""חלק כללי",2001,הדיון המשפטי:,60,6. עדותו של בן הזוג,2969,סיכום,1693,חזית המחלוקת - כללי,1195,סיכום הדברים:,2814,פתח דבר,1126,דיון
2,עדויות התביעה,799,האישום השישי,1,5.0,3,2798,גרסת ש.ה. – אמו של הפעוט,2043,(3)    עדותו של בעלה של עידית  וההקלטה ת/1,2697,עד תביעה – החוקר אלכס קלנטרוב,799,האישום השישי,2467,גרסת אם המתלוננת ואשת הנאשם (ע.ה. 19) - ילנה לגוטין,2315," החקירה ביחידת הנוער חשיפה במחוז ש""י בירושלים",2468,"המומחים הרפואיים - ""שאלת הביצה והתרנגולת""",2485,החזרה מהתלונה- נ/7,2016,גרסת המתלוננת:,117,"ד""ר נעון-משיח"
1,כתב האישום,727,"האם החדיר הנאשם, במהלך האירוע, את אצבעותיו ו/או איבר מינו לאיבר מינה של המתלוננת?",2,3.0,9,2558,אישום ראשון:,359,2.	כתב האישום:,2277,אישום שלישי,2831,אישום שבעה עשר,1003,כתב האישום,2909,תגובת הנאשם לכתב האישום,2826,אשום אחד עשר,2362,תשובת הנאשם על כתב האישום ועיקרי הגנתו,2817,אישום ראשון,727,"האם החדיר הנאשם, במהלך האירוע, את אצבעותיו ו/או איבר מינו לאיבר מינה של המתלוננת?"
2,עדויות התביעה,605,הגשת התלונה,-1,,7,428,סיכום הגירסה העובדתית של הילד,93,עדות' גב' כוכבה לוי – אימם של הקטינים,113,דר' צ'רניס,701,9. עדותה של טניה (להלן: טניה/אדווה),778,עדות המתלוננת,1178,עדות אדרגאו (אדה) אברה:,229,עדות הקטינה,605,הגשת התלונה,134,אחותה של המתלוננת – א.ט:,2042,(2)   עדותה של יעל
4,ראיות התביעה,2762,בא כוח הנאשם:,-1,,9,2443,עדי התביעה:,1224,5.	עד התביעה - משה בן עמי,393,פרשת ההגנה,2106,10.	ההכרעה,3162,הראיות הנוספות,1673,ראיות ההגנה,2205,פרשת התביעה,1710,6.		סיכומי המאשימה,3215,3.	עדות המתלוננת,2762,בא כוח הנאשם:
4,ראיות התביעה,283,ע.ת. 7 – סוויד שאול,2,3.0,8,930,העדים,193,4.3. העדר מהימנות הנאשם,3218,6.	חיזוקים לעמדתי זו,2901,האישום באינוס - סקירת חומר הראיות הרלוונטי,3069,תמצית סיכומי ההגנה,2056,טיעוני התביעה:,410,סיכום טיעוני באי כח הצדדים:,932,עדויות התביעה,283,ע.ת. 7 – סוויד שאול,923,5.	ראיות ההגנה
2,עדויות התביעה,349,עדות הנאשם,3,6.0,4,2009,עד ההגנה אולג נצ'ייב,1370,אמרתו של ולרי  במשטרה,1776,עדות יעקב פרץ,1307,מהימנותה של המתלוננת,349,עדות הנאשם,115,פרופ' סילבר,2696,עד תביעה - ניסים ביטון,1719,"יצחק הררי (להלן: ""יצחק""):",2758,"7.	חשיפת האירועים ע""י המתלוננת ומצבה הנפשי",2488,אירוע האונס מיום 1.6.2012 איומים וכליאת השווא
1,כתב האישום,1322,טענת המאבקים הפוליטיים:,-1,,5,2832,אישום שמונה עשר,1304,תגובת הנאשם לאישום,2661,כתב-האישום,854,א. כתב האישום וחזית המריבה,29,פתח דבר- כתב האישום,1322,טענת המאבקים הפוליטיים:,2585,1.     כתב האישום,1859,אישום שלישי,3232,כתב האישום,797,האישום הרביעי
8,סוף דבר,2959,יסוד ההכנה,-1,,2,2658,סוף דבר,1770,סוף דבר,2959,יסוד ההכנה,341,סוף דבר,1527,סוף דבר,2906,סוף דבר,1127,סוף דבר,96,סוף דבר,3295,סוף דבר,1268,סוף דבר
0,הכרעת דין,848,עבירת האינוס,-1,,1,610,הכרעת-דין,848,עבירת האינוס,1933,הכרעת דין,1390,הכרעת דין,2140,הכרעת דין,1881,הכרעת דין,1067,הכרעת דין,479,הכרעת דין,2716,הכרעת - דין,3098,הכרעת דין
0,הכרעת דין,2109,תגובת הנאשם לאישום,1,5.0,4,263,הכרעת דין,1707,הכרעת דין,1478,הכרעת דין,1550,הכרעת דין,2109,תגובת הנאשם לאישום,2250,הכרעת דין,3165,הכרעת דין,1254,הכרעת דין,939,הכרעת דין,2098,הכרעת דין
6,סיכום,1280,המישור הנורמטיבי,7,4.0,2,394,החלטה,301,מסקנה,1280,המישור הנורמטיבי,1364,סיכום,1118,לסיכום:,1606,סיכום,674,החלטה,945,לסיכום:,387,מבוא,374,מבוא
4,ראיות התביעה,1467,"
ראיות ההגנה ",5,9.0,9,3116,הדיון לגופו והמסקנות המתבקשות ממכלול העדויות,1709,5.		ראיות ההגנה,89,2. פלוגתאות טעונות הוכחה,1986,הראיות,2218,2.	גירסת ההגנה,1344,עדי תביעה נוספים,973,עדויות וראיות הצדדים,2641,הראיות,1374,עדויות חיזוק מצד הנאשמים,1467,"
ראיות ההגנה "
2,עדויות התביעה,3273,הכרעת דין,0,7.0,7,2065,חשיפת הפרשה והשתלשלות האירועים בטרם החקירה המשטרתית:,2799,מצבו של הפעוט בבוקר המקרה,2466,עדות הנאשם (ע.ה. 1),56,2. עדותה של המתלוננת לפני חוקרת הילדים,230,עדות החברה,91,1. עת' המתלוננת הקטינה נ',1342,מעשיו של הנאשם בר',3273,הכרעת דין,1410,חקירה נגדית,763,גרסת המתלוננת:
2,עדויות התביעה,1888,"7.	התנהלות ב""כ הנאשם:",3,6.0,9,2365,עדות סבתה של המתלוננת מצד האב - הגב' ס.מ.,1488,עדות בן זוגה של המתלוננת:,2256,עדותה של הפסיכולוגית שטיפלה במתלוננת,1028,החשיפה הנטענת באזני חברת הילדות של ----,1180,עדות רחל מרשה:,1296,עד הגנה מס' 3: משה ליסמן,621,חיזוקים ותמיכות לעדות המתלוננת,1205,שאלת משקלה של עדות המתלוננת.,1086,ובחזרה לחקירה הראשית,1888,"7.	התנהלות ב""כ הנאשם:"
4,ראיות התביעה,726,פתח דבר,-1,,3,1809,ראיות נסיבתיות נוספות המחזקות את זיהוי הנאשם:,2761,10.	ההכרעה,2974,"14.	תמצית עדותו בביהמ""ש",726,פתח דבר,1189,עניין מצלמות האבטחה:,2123,ראיות ההגנה:,1803,עדי ההגנה,48,פרשת התביעה:,2222,6.	סיוע .,1930,ראיות ההגנה
1,כתב האישום,1307,מהימנותה של המתלוננת,2,3.0,9,1462,עובדות כתב האישום,2076,האישום,1144,אישום שלישי:,3099,כתב האישום,1097,האישום השני,2382,עובדות כתב האישום,1326,תמצית עובדות כתב האישום,1810,אישום מס' 1:,1463,תגובת הנאשם לאישום,1307,מהימנותה של המתלוננת
0,הכרעת דין,678,מערכת היחסים בין המתלוננת לנאשם – עיקר התקופה,2,3.0,2,485,הכרעת דין,1093,הכרעת דין,678,מערכת היחסים בין המתלוננת לנאשם – עיקר התקופה,585,הכרעת דין,1378,הכרעת דין,868,הכרעת דין,3273,הכרעת דין,993,הכרעת דין,241,הכרעת דין,1573,הכרעת דין
1,כתב האישום,2905,סוף דבר,-1,,4,1142,אישום ראשון,82,תשובת הנאשם לכתב האישום:,929,האישום,107,כתב האישום,2905,סוף דבר,893,אישום עשרים ושבעה,1380,"5129371העובדות עפ""י כתב האישום:",2839,אישום עשרים וחמישה,2064,תשובת הנאשם לכתב האישום:,2964,רקע עובדתי
4,ראיות התביעה,2321,אישום ראשון,1,5.0,5,492,פרשת התביעה:,2622,ראיות התביעה,2900,העובדות עליהן אין מחלוקת,1860,4.	ראיות המאשימה,2133,עדי הגנה נוספים,2321,אישום ראשון,1533,ראיות ההגנה,2509,הערכת עדויות התביעה:,2766,תמצית טענות הגנה:,3068,תמצית סיכומי המאשימה
7,יסוד העבירה,2200,בשולי הדברים,-1,,3,1526,"""לא יישא אדם באחריות פלילית לעבירה אלא אם כן היא הוכחה מעבר לספק סביר",2029,כליאת שווא:,513,היסוד הנפשי – האם הנחת רגלו של הנאשם על גופו של המתלונן נעשתה לצורך גירוי מיני,2200,בשולי הדברים,3119,"יחסי תלות, מרות, חינוך, השגחה, עבודה או שירות",761,היסוד הנפשי,2730,"9.	דפוס התנהגות, מעשים דומים ושיטה",810,העבירות בהן יש להרשיע את הנאשם,1300,(ב) מעמד הזיהוי,760,מצב אחר המונע מתן הסכמה חופשית
3,עדות הנאשם,3134,דיון והכרעה,-1,,0,3134,דיון והכרעה,1490,גרסת הנאשם:,3317,גרסת הנאשם,687,תסקיר שירות המבחן,1305,הגרסאות ביחס לאירוע הנטען,953,גרסתו של הנאשם,2952,64.	שקרי הנאשם,1830,גרסתו של המתלונן,808,עדות הנאשם,2749,הסנגור:
3,עדות הנאשם,2890,אישום תשעה עשר,-1,,0,2890,אישום תשעה עשר,2977,ממצאים ומסקנות,2426,5.	גירסת הנאשם:,755,גרסות הנאשם,2853,גרסת הנאשם בנוגע לאישום השנים עשר,1800,גרסת הנאשם,2129,"ב""כ המאשימה:",149,הערכת עדות המתלוננת:,2025,עדות הנאשם:,2452,התלונה נגד הנאשם:
6,סיכום,1663,פילוג ההודאה – בזיקה לפרטים אותם אין מקום או אין הכרח לקבל,-1,,4,2683,סיכום,1149,הכרעה:,960,דיון ומסקנות:,599,דיון,1663,פילוג ההודאה – בזיקה לפרטים אותם אין מקום או אין הכרח לקבל,3261,סיכום,379,מבוא,2238,לסיכום,2070,מהימנות ח,2020,דיון ומסקנות:
7,יסוד העבירה,694,2. תשובת הנאשם לכתב האישום,1,5.0,0,694,2. תשובת הנאשם לכתב האישום,2404,העדר התנגדות מצד המתלונן,2094,עבירת מעשה מגונה:,2791,העבירות,1559,6) הרשעה בעבירת המעשה המגונה,965,עדות הלוקה בשכלו- המסגרת הנורמטיבית,3126,העדויות לעניין טענת הזוטא:,3054,עבירת מעשה מגונה,928,(4)	מחדלי החקירה,1476,עבירת תקיפה הגורמת חבלה חמורה ויסודותיה
6,סיכום,1750,1. עדות חוקרת הילדים,2,3.0,6,2517,הכרעה,457,"
סיכום",1665,מניע,2516,קינטור,665,ו.  סיכום,166,מבוא,1750,1. עדות חוקרת הילדים,1065,התוצאה,380,מבוא,1887,6.	דיון:
2,עדויות התביעה,1811,"זיהוי הנאשם ע""י המתלוננת ש""ס",2,3.0,1,312,בחינת הראיות בנוגע לד' (אישום חמישי),1811,"זיהוי הנאשם ע""י המתלוננת ש""ס",2531,העימות בין הנאשם למתלוננת,677,נסיבות פגישתם של המתלוננת והנאשם – ראשית הקשר,1293,עדת תביעה מס' 4: מרים אבסלנדר,859,ה. עדותה של או'.כ. – אם הקטין,2022,עדות המתלוננת:,2303,עדות כבושה,2529,"עדותו של רס""מ שקד",2254,עדות חוקרת הילדים
6,סיכום,1740,הסברו של הנאשם למימצאי הDNA,2,3.0,3,3275,מבוא:,2026,דיון:,2124,דיון:,1740,הסברו של הנאשם למימצאי הDNA,128,התוצאה,1459,ההכרעה,1932,מסקנה,793,רקע,382,מבוא,368,מבוא
7,יסוד העבירה,2474,דיון בקו ההגנה הרפואי,7,4.0,6,3096,עבירת ההדחה בחקירה,472,מעשה מגונה,67,4. הטענה לגבי הגנת השכרות,1433,האם ניתן לקבוע ברמת הוודאות הנדרשת שהנאשם הדביק את ע' באיידס?,3043,20.3	מעשים מגונים בא' ד',430,דרישת סיוע,2474,דיון בקו ההגנה הרפואי,1352,האם מעשיו של הנאשם מבססים את יסודות עבירות המין?,989,היסוד העובדתי,1937,הגנת שכרות
1,כתב האישום,3078,מהימנות גרסתו של ב.מ.,-1,,4,2773,כתב האישום,2108,האישום,841,תשובת הנאשם לכתב האישום וזירות המחלוקת,2823,אישום שביעי,3078,מהימנות גרסתו של ב.מ.,1928,תשובת הנאשם לאישום ויריעת המחלוקת,3233,תשובת הנאשם לכתב האישום,53,1. כתב האישום,881,אישום ארבעה עשר,872,אישום רביעי
4,ראיות התביעה,1952,א. המתלוננת,5,9.0,8,392,פרשת התביעה:,2941,חוות הדעת מטעם ההגנה,2018,ראיות תביעה שהוגשו בהסכמה:,1112,הדיון בראיות האישום השני:,2080,"השתלשלות העניינים עד כה, בקצרה",1999,פרשת ההגנה:,248,כבישת העדות,1901,5.	סיכומי ההגנה:,1952,א. המתלוננת,238,ניתוח הראיות
3,עדות הנאשם,83,העובדות,4,2.0,1,337,גירסת הנאשם – לא מהימנה ובחלקים הימנה - גם בלתי סבירה,83,העובדות,366,7.	סיכום הכרעת הדין,1200,הערכת עדויות וסיכומים,1583,גירסת הנאשם,2859,גרסת הנאשם בנוגע לאישום השמונה עשר,2849,גרסת הנאשם בנוגע לאישום השמיני,1481,הנאשם:,1975,עדות הנאשם בשנית לאחר הגשת תכתובת הפייסבוק:,764,גרסת הנאשם:
